model,id,dataset,valid,status,comparator_status,agreement,ambiguity,P,O,W_ind,W_opt,W_nar,H
gpt-5.4-mini-2026-03-17,SYN-G07,synthetic,True,S,U,0,P is only minimally supported by award/disbursement language; the rebuttal is chiefly W-ind.,YES,YES,YES,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-G02,synthetic,True,U,U,1,"No explicit rebuttal or independence mechanism; 'prior-authorization' is the only possible predicate, but the rationale mainly describes a draft letter for clinician consideration.",UNCLEAR,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-I02,synthetic,True,S,contested,0,"H could be read as overlapping with W_ind/W_nar rather than independent support, but the W mechanisms are explicit.",YES,YES,YES,NO,YES,YES
gpt-5.4-mini-2026-03-17,SYN-I01,synthetic,True,D,contested,0,"The rationale clearly shows human case-manager determination, but it does not name any high-impact policy predicate or a qualifying non-AI mechanism; W-related language about self-reported income/other means is too vague to count.",NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-I03,synthetic,True,D,contested,0,"Independent verification is mentioned, but the rationale does not state that the determination does not principally depend on the AI output; the fallback says the AI recommendation controls.",NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-J04,synthetic,True,U,U,1,"Describes a bounded output and separate annual privacy review, but no denied high-impact predicate or qualifying mechanism tying review to a non-AI basis.",NO,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-J02,synthetic,True,S,S,1,P is borderline because the rationale never expressly says 'high-impact' or mentions rights/safety; coded YES because it identifies the consequential action ('adjudication/outcome').,YES,YES,YES,YES,NO,NO
gpt-5.4-mini-2026-03-17,SYN-J03,synthetic,True,U,D,0,"The rationale is descriptive only: it mentions transparency, caseworker review, and training data, but it does not state the denied high-impact predicate, the AI output/use, or any limiting mechanism. Human review could imply oversight, but it is not clearly offered as the load-bearing basis for a rebuttal.",NO,NO,NO,NO,NO,UNCLEAR
gpt-5.4-mini-2026-03-17,SYN-J05,synthetic,True,U,U,1,"Generic informational-only wording; no denied policy predicate, no identified AI-supplied output/workflow role, and no qualifying limiting mechanism.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-J01,synthetic,True,U,D,0,"Mentions an AI recommendation and case manager approval, but no clear non-AI basis or limiting mechanism; 'eligibility' is too thin to establish the predicate.",UNCLEAR,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-J07,synthetic,True,U,U,1,"Pilot/non-deployment language only; no identified high-impact predicate, AI output/use, or qualifying non-AI mechanism.",NO,NO,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-J06,synthetic,True,D,D,1,"No policy predicate is stated. The rationale supports O via a recommendation entering use after staff review, but no independent non-AI basis, alternative path, or narrow-output mechanism is given.",NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-J09,synthetic,True,U,U,1,"Generic denial only; it does not specify the denied threshold, any AI output/use, or any limiting mechanism.",NO,NO,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,SYN-J10,synthetic,True,U,U,1,Only an output score is stated; no denied high-impact predicate or qualifying mechanism is disclosed.,NO,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,EXT-fb680b3746,external,True,D,D,1,,YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,SYN-J08,synthetic,True,S,S,1,,YES,YES,YES,NO,NO,NO
gpt-5.4-mini-2026-03-17,EXT-7ac645fe8c,external,True,S,S,1,,YES,YES,YES,NO,YES,NO
gpt-5.4-mini-2026-03-17,EXT-a373f019cd,external,True,S,S,1,"Human review/discretion is explicit, but an independent non-AI basis is also explicit, so status is S; no separate non-AI alternative or narrow operational mechanism is stated.",YES,YES,YES,NO,NO,YES
gpt-5.4-mini-2026-03-17,EXT-bcfa6896aa,external,True,S,S,1,,YES,YES,YES,NO,NO,NO
gpt-5.4-mini-2026-03-17,EXT-4821c27789,external,True,D,D,1,None,YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,EXT-296eaedbb0,external,True,D,D,1,none,YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,EXT-8d16ad31d3,external,True,D,D,1,"Human review is the stated basis, but it does not supply an independent non-AI basis under the codebook.",YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,R-02,repeat,True,U,U,1,O is named but no workflow or use context is stated; validation language is research-oriented rather than an operational mechanism.,YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,EXT-6877435c0d,external,True,S,S,1,No independent non-AI source is named; W_nar is supported by the aggregate/cohort-total and no-individual-case language.,YES,YES,NO,NO,YES,NO
gpt-5.4-mini-2026-03-17,R-06,repeat,True,U,U,1,"Only integration is stated; no denied policy predicate, no specific AI output/use, and no qualifying non-AI mechanism.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,R-04,repeat,True,U,U,1,"P is explicit. O is generic: it names 'AI outputs' and decision use, but no specific output type. No independent basis, alternative path, narrow mechanism, or human-review warrant is stated.",YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,R-01,repeat,True,U,S,0,"Rationale clearly says the information supports staffing priorities and is not used for security/employment decisions, but it does not state a qualifying non-AI mechanism or alternative path.",YES,YES,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,R-07,repeat,True,D,D,1,No explicit policy predicate or non-AI mechanism is stated; human verification/final action is the only load-bearing reason.,NO,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,R-05,repeat,True,S,S,1,"W_ind is somewhat borderline because the non-AI check is described generically, but W_nar is clear enough for S.",YES,YES,YES,NO,YES,YES
gpt-5.4-mini-2026-03-17,R-09,repeat,True,D,S,0,No qualifying W mechanism is stated; human review/validation is the load-bearing reason.,YES,YES,NO,NO,NO,YES
gpt-5.4-mini-2026-03-17,R-08,repeat,True,U,U,1,"Rationale is mostly temporal/future-facing (“not yet live,” “need further review”) and does not clearly state a denied high-impact predicate or a bounded non-AI mechanism; output use is mentioned only prospectively and not with a defined workflow.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-mini-2026-03-17,R-10,repeat,True,S,D,0,"W_ind rests on CBP Super Query plus the explicit non-principal-basis statement; if treated as only human oversight, status would be D instead of S.",YES,YES,YES,NO,NO,YES
gpt-5.4-mini-2026-03-17,R-03,repeat,True,S,S,1,"W_ind is supported by the post-alert image review; W_nar is not separately explicit because the load-bearing limit is the human review, not just the alert-only label.",YES,YES,YES,NO,NO,YES
